Creditability;Account_Balance;Duration_of_Credit_monthly;Payment_Status_of_Previous_Credit;Purpose;Credit_Amount;Value_Savings_Stocks;Length_of_current_employment;Instalment_per_cent;Sex_Marital_Status;Guarantors;Duration_in_Current_address;Most_valuable_available_asset;Age_years;Concurrent_Credits;Type_of_apartment;No_of_Credits_at_this_Bank;Occupation;No_of_dependents;Telephone;Foreign_Worker;Relative_Credit_Amount
1;2;48;2.0;3.0;3979;5;4;4;2.0;0.0;1;3;41;3;1.0;2;2.0;2;1.0;0.0;1989.5
1;4;21;4.0;2.0;2288;1;2;4;1.0;0.0;4;2;23;3;1.0;1;2.0;1;1.0;0.0;572.0
1;4;24;3.0;8.0;3863;1;3;1;2.0;0.0;2;4;32;3;2.0;1;2.0;1;0.0;0.0;965.75
1;2;16;4.0;0.0;1175;1;1;2;2.0;0.0;3;3;68;3;2.0;3;0.0;1;1.0;0.0;587.5
0;2;18;4.0;3.0;1245;1;3;4;3.0;0.0;2;3;33;3;1.0;1;2.0;1;0.0;0.0;622.5
0;4;12;4.0;3.0;797;5;5;4;1.0;0.0;3;2;33;3;1.0;1;1.0;2;0.0;0.0;199.25
1;4;24;3.0;0.0;717;5;5;4;3.0;0.0;4;3;54;3;1.0;2;2.0;1;1.0;0.0;179.25
0;1;36;2.0;2.0;3446;1;5;4;2.0;0.0;2;3;42;3;1.0;1;2.0;2;0.0;0.0;3446.0
0;1;16;4.0;0.0;2625;1;5;2;2.0;2.0;4;2;43;3;0.0;1;2.0;1;1.0;1.0;2625.0
1;4;6;4.0;0.0;362;2;3;4;1.0;0.0;4;3;52;3;1.0;2;1.0;1;0.0;0.0;90.5
1;1;30;0.0;2.0;4583;1;3;2;0.0;2.0;2;1;32;3;1.0;2;2.0;1;0.0;0.0;4583.0
1;4;4;4.0;3.0;1503;1;4;2;2.0;0.0;1;1;42;3;1.0;2;1.0;2;0.0;0.0;375.75
0;1;24;2.0;2.0;2359;2;1;1;0.0;0.0;1;2;33;3;1.0;1;2.0;1;0.0;0.0;2359.0
1;2;30;4.0;0.0;2181;5;5;4;2.0;0.0;4;1;36;3;1.0;2;2.0;1;0.0;0.0;1090.5
1;4;36;2.0;1.0;4686;1;3;2;2.0;0.0;2;4;32;3;2.0;1;3.0;1;1.0;0.0;1171.5
1;2;24;4.0;6.0;5743;1;2;2;1.0;0.0;4;4;24;3;2.0;2;2.0;1;1.0;0.0;2871.5
1;4;21;2.0;8.0;1572;4;5;4;1.0;0.0;4;1;36;1;1.0;1;1.0;1;0.0;0.0;393.0
1;4;48;4.0;8.0;7629;5;5;4;0.0;0.0;2;3;46;1;1.0;2;3.0;2;0.0;0.0;1907.25
1;4;36;4.0;1.0;11054;5;3;4;2.0;0.0;2;3;30;3;1.0;1;3.0;1;1.0;0.0;2763.5
1;1;24;1.0;2.0;2483;3;3;4;2.0;0.0;4;1;22;2;1.0;1;2.0;1;1.0;0.0;2483.0
1;4;15;2.0;3.0;1979;5;5;4;2.0;0.0;2;3;35;3;1.0;1;2.0;1;0.0;0.0;494.75
1;4;12;2.0;8.0;1542;1;4;2;2.0;0.0;4;3;36;3;1.0;1;2.0;1;1.0;0.0;385.5
1;3;24;2.0;2.0;3749;1;2;2;1.0;0.0;4;3;26;3;1.0;1;2.0;1;0.0;0.0;1249.6666666666667
1;4;6;2.0;7.0;1238;5;1;4;2.0;0.0;4;2;36;3;1.0;1;3.0;2;1.0;0.0;309.5
0;1;6;4.0;2.0;3384;1;3;1;0.0;0.0;4;1;44;3;0.0;1;3.0;1;1.0;0.0;3384.0
1;4;12;4.0;3.0;1240;5;5;4;1.0;0.0;2;1;38;3;1.0;2;2.0;1;1.0;0.0;310.0
1;4;18;4.0;1.0;3229;5;1;2;2.0;0.0;4;4;38;3;1.0;1;3.0;1;1.0;0.0;807.25
1;4;12;4.0;8.0;1185;1;3;3;1.0;0.0;2;1;27;3;1.0;2;2.0;1;0.0;0.0;296.25
1;1;42;4.0;5.0;3394;1;1;4;2.0;1.0;4;3;65;3;1.0;2;0.0;1;0.0;0.0;3394.0
1;4;18;2.0;3.0;1453;1;2;3;1.0;0.0;1;1;26;3;1.0;1;2.0;1;0.0;0.0;363.25
1;1;30;2.0;2.0;3622;4;5;4;1.0;0.0;4;2;57;3;0.0;2;2.0;1;1.0;0.0;3622.0
1;4;48;4.0;1.0;2751;5;5;4;2.0;0.0;3;3;38;3;1.0;2;2.0;2;1.0;0.0;687.75
1;4;21;3.0;1.0;2993;1;3;3;2.0;0.0;2;1;28;2;1.0;2;1.0;1;0.0;0.0;748.25
1;1;12;2.0;2.0;2578;1;1;3;1.0;0.0;4;4;55;3;2.0;1;3.0;1;0.0;0.0;2578.0
1;1;18;4.0;2.0;1049;1;2;4;1.0;0.0;4;2;21;3;0.0;1;2.0;1;0.0;0.0;1049.0
1;4;24;1.0;8.0;1559;1;4;4;2.0;0.0;4;3;40;1;1.0;1;2.0;1;1.0;0.0;389.75
1;3;24;4.0;2.0;3617;5;5;4;2.0;1.0;4;4;20;3;0.0;2;2.0;1;0.0;0.0;1205.6666666666667
1;3;10;4.0;3.0;1347;5;4;4;2.0;0.0;2;2;27;3;1.0;2;2.0;1;1.0;0.0;449.0
0;4;18;2.0;3.0;433;1;1;3;1.0;1.0;4;1;22;3;0.0;1;2.0;1;0.0;0.0;108.25
1;3;12;2.0;3.0;1881;1;3;2;1.0;0.0;2;3;44;3;0.0;1;1.0;1;1.0;0.0;627.0
1;4;24;2.0;3.0;3105;5;2;4;2.0;0.0;2;3;25;3;1.0;2;2.0;1;0.0;0.0;776.25
1;4;18;2.0;3.0;4594;1;2;3;2.0;0.0;2;3;32;3;1.0;1;2.0;1;1.0;0.0;1148.5
1;3;12;2.0;3.0;1297;1;3;3;3.0;0.0;4;1;23;3;0.0;1;2.0;1;0.0;0.0;432.3333333333333
1;4;24;4.0;3.0;5103;1;2;3;3.0;0.0;3;4;47;3;2.0;3;2.0;1;1.0;0.0;1275.75
1;4;24;2.0;2.0;5511;2;3;4;2.0;0.0;1;3;25;2;1.0;1;2.0;1;0.0;0.0;1377.75
1;4;12;2.0;3.0;776;1;3;4;3.0;0.0;2;1;28;3;1.0;1;2.0;1;0.0;0.0;194.0
1;4;12;2.0;0.0;1101;1;3;3;3.0;0.0;2;1;27;3;1.0;2;2.0;1;1.0;0.0;275.25
0;1;18;2.0;2.0;4153;1;3;2;2.0;1.0;3;3;42;3;1.0;1;2.0;1;0.0;0.0;4153.0
1;2;12;4.0;0.0;1995;2;2;4;2.0;0.0;1;3;27;3;1.0;1;2.0;1;0.0;0.0;997.5
0;2;36;3.0;0.0;8086;2;5;2;2.0;0.0;4;3;42;2;1.0;4;3.0;1;1.0;0.0;4043.0
1;4;18;4.0;0.0;1055;1;2;4;1.0;0.0;1;2;30;3;1.0;2;2.0;1;0.0;0.0;263.75
1;4;24;2.0;1.0;2670;1;5;4;2.0;0.0;4;3;35;3;1.0;1;3.0;1;1.0;0.0;667.5
0;2;18;2.0;1.0;12976;1;1;3;1.0;0.0;4;4;38;3;2.0;1;3.0;1;1.0;0.0;6488.0
1;4;24;3.0;0.0;2032;1;5;4;2.0;0.0;4;4;60;3;2.0;2;2.0;1;1.0;0.0;508.0
1;4;15;2.0;2.0;2221;3;3;2;1.0;0.0;4;3;20;3;0.0;1;2.0;1;0.0;0.0;555.25
1;4;18;2.0;2.0;2515;1;3;3;2.0;0.0;4;1;43;3;1.0;1;2.0;1;1.0;0.0;628.75
1;1;12;1.0;7.0;339;1;5;4;3.0;0.0;1;3;45;1;1.0;1;1.0;1;0.0;0.0;339.0
1;4;15;4.0;3.0;1829;1;5;4;2.0;0.0;4;3;46;3;1.0;2;2.0;1;1.0;0.0;457.25
1;4;10;2.0;0.0;1418;2;3;3;2.0;0.0;2;1;35;3;0.0;1;1.0;1;0.0;1.0;354.5
1;4;36;2.0;3.0;2394;5;3;4;1.0;0.0;4;3;25;3;1.0;1;2.0;1;0.0;0.0;598.5
1;4;12;2.0;0.0;2133;5;5;4;1.0;0.0;4;4;52;3;2.0;1;3.0;1;1.0;0.0;533.25
0;1;24;1.0;3.0;1546;1;4;4;2.0;2.0;4;3;24;1;0.0;1;1.0;1;0.0;0.0;1546.0
1;4;6;2.0;2.0;1543;4;3;4;0.0;0.0;2;1;33;3;1.0;1;2.0;1;0.0;0.0;385.75
0;2;12;2.0;3.0;766;3;3;4;2.0;0.0;3;1;66;3;1.0;1;1.0;1;0.0;0.0;383.0
1;3;15;2.0;6.0;392;1;2;4;1.0;0.0;4;2;23;3;0.0;1;2.0;1;1.0;0.0;130.66666666666666
1;4;15;2.0;0.0;3556;5;3;3;2.0;0.0;2;4;29;3;1.0;1;2.0;1;0.0;0.0;889.0
0;1;36;2.0;0.0;9271;1;4;2;2.0;0.0;1;3;24;3;1.0;1;2.0;1;1.0;0.0;9271.0
1;4;24;2.0;0.0;2255;5;2;4;2.0;0.0;1;2;54;3;1.0;1;2.0;1;0.0;0.0;563.75
1;3;10;2.0;4.0;1225;1;3;2;2.0;0.0;2;3;37;3;1.0;1;2.0;1;1.0;0.0;408.3333333333333
0;2;24;4.0;8.0;1935;1;5;4;0.0;0.0;4;1;31;3;1.0;2;2.0;1;1.0;0.0;967.5
1;4;6;4.0;3.0;1382;1;3;1;1.0;0.0;1;3;28;3;1.0;2;2.0;1;1.0;0.0;345.5
1;4;15;2.0;4.0;1262;3;4;4;2.0;0.0;3;2;36;3;1.0;2;2.0;1;1.0;0.0;315.5
1;4;36;2.0;3.0;3835;5;5;2;1.0;0.0;4;1;45;3;1.0;1;1.0;1;1.0;0.0;958.75
1;4;24;2.0;3.0;1552;1;4;3;2.0;0.0;1;3;32;1;1.0;1;2.0;2;0.0;0.0;388.0
1;1;8;4.0;0.0;3398;1;4;1;2.0;0.0;4;1;39;3;1.0;2;1.0;1;0.0;1.0;3398.0
1;4;6;2.0;2.0;1766;1;3;1;3.0;0.0;2;2;21;3;0.0;1;2.0;1;0.0;0.0;441.5
1;4;12;4.0;6.0;2748;1;5;2;1.0;0.0;4;4;57;1;2.0;3;1.0;1;0.0;0.0;687.0
1;4;24;2.0;2.0;929;5;4;4;2.0;0.0;2;3;31;2;1.0;1;2.0;1;1.0;0.0;232.25
0;1;24;3.0;0.0;4870;1;3;3;2.0;0.0;4;4;53;3;2.0;2;2.0;2;0.0;0.0;4870.0
0;1;18;2.0;3.0;3190;1;3;2;1.0;0.0;2;1;24;3;1.0;1;2.0;1;0.0;0.0;3190.0
1;4;4;2.0;2.0;601;1;2;1;1.0;0.0;3;1;23;3;0.0;1;1.0;2;0.0;0.0;150.25
1;4;21;2.0;1.0;2476;5;5;4;2.0;0.0;4;1;46;3;1.0;1;3.0;1;1.0;0.0;619.0
0;1;24;1.0;2.0;6872;1;2;2;0.0;0.0;1;2;55;1;1.0;1;2.0;1;1.0;0.0;6872.0
0;2;12;2.0;0.0;685;1;4;2;3.0;0.0;3;3;25;1;1.0;1;1.0;1;0.0;0.0;342.5
1;1;18;1.0;3.0;1940;1;2;3;2.0;1.0;4;4;36;1;2.0;1;3.0;1;1.0;0.0;1940.0
0;1;27;0.0;8.0;5293;1;1;2;2.0;0.0;4;2;50;3;1.0;2;2.0;1;1.0;0.0;5293.0
1;4;24;2.0;0.0;1249;1;2;4;3.0;0.0;2;1;28;3;1.0;1;2.0;1;0.0;0.0;312.25
1;3;6;2.0;2.0;2116;1;3;2;2.0;0.0;2;1;41;3;1.0;1;2.0;1;1.0;0.0;705.3333333333334
0;1;18;2.0;6.0;750;1;1;4;1.0;0.0;1;1;27;3;1.0;1;0.0;1;0.0;0.0;750.0
0;1;36;3.0;8.0;2145;1;4;2;2.0;0.0;1;3;24;3;1.0;2;2.0;1;1.0;0.0;2145.0
1;4;36;2.0;8.0;5742;2;4;2;2.0;0.0;2;3;31;3;1.0;2;2.0;1;1.0;0.0;1435.5
1;1;24;2.0;9.0;1755;1;5;4;1.0;2.0;4;1;58;3;1.0;1;1.0;1;1.0;0.0;1755.0
1;3;12;3.0;0.0;2247;1;3;2;1.0;0.0;2;3;36;2;1.0;2;2.0;1;1.0;0.0;749.0
1;4;24;2.0;3.0;1533;1;2;4;1.0;0.0;3;3;38;2;1.0;1;2.0;1;1.0;0.0;383.25
1;1;18;2.0;3.0;3509;1;4;4;1.0;2.0;1;1;25;3;1.0;1;2.0;1;0.0;0.0;3509.0
1;4;12;4.0;3.0;1655;1;5;2;2.0;0.0;4;1;63;3;1.0;2;1.0;1;1.0;0.0;413.75
1;2;48;2.0;9.0;5381;5;1;3;2.0;0.0;4;4;40;1;2.0;1;0.0;1;1.0;0.0;2690.5
1;1;39;4.0;2.0;14179;5;4;4;2.0;0.0;4;2;30;3;1.0;2;3.0;1;1.0;0.0;14179.0
0;1;12;0.0;0.0;1082;1;3;4;2.0;0.0;4;3;48;1;1.0;2;2.0;1;0.0;0.0;1082.0
0;4;21;4.0;0.0;12680;5;5;4;2.0;0.0;4;4;30;3;2.0;1;3.0;1;1.0;0.0;3170.0
1;1;6;4.0;0.0;4716;5;2;1;2.0;0.0;3;1;44;3;1.0;2;1.0;2;0.0;0.0;4716.0
1;4;15;2.0;0.0;5324;3;5;1;1.0;0.0;4;4;35;3;2.0;1;2.0;1;0.0;0.0;1331.0
1;2;18;0.0;2.0;3244;1;3;1;1.0;0.0;4;3;33;1;1.0;2;2.0;1;1.0;0.0;1622.0
1;4;24;4.0;1.0;2197;5;4;4;2.0;0.0;4;3;43;3;1.0;2;2.0;2;1.0;0.0;549.25
0;1;30;2.0;2.0;3108;1;2;2;0.0;0.0;4;2;31;3;1.0;1;1.0;1;0.0;0.0;3108.0
1;4;12;2.0;2.0;1768;1;3;3;2.0;0.0;2;1;24;3;0.0;1;1.0;1;0.0;0.0;442.0
0;1;24;1.0;8.0;3161;1;3;4;2.0;0.0;2;2;31;1;0.0;1;2.0;1;1.0;0.0;3161.0
1;4;10;2.0;1.0;2848;2;3;1;2.0;1.0;2;1;32;3;1.0;1;2.0;2;0.0;0.0;712.0
1;3;36;2.0;3.0;3919;1;3;2;2.0;0.0;2;1;23;3;1.0;1;2.0;1;1.0;0.0;1306.3333333333333
1;4;24;4.0;1.0;6842;5;3;2;2.0;0.0;4;2;46;3;1.0;2;3.0;2;1.0;0.0;1710.5
1;2;24;3.0;8.0;6967;2;4;4;2.0;0.0;4;3;36;3;0.0;1;3.0;1;1.0;0.0;3483.5
0;1;24;1.0;2.0;3552;1;4;3;2.0;0.0;4;3;27;1;1.0;1;2.0;1;0.0;0.0;3552.0
0;1;24;3.0;3.0;1024;1;2;4;3.0;0.0;4;1;48;2;1.0;1;2.0;1;0.0;0.0;1024.0
1;4;12;2.0;3.0;1493;1;2;4;1.0;0.0;3;3;34;3;1.0;1;2.0;2;0.0;0.0;373.25
0;1;12;2.0;0.0;759;1;4;4;2.0;0.0;2;1;26;3;1.0;1;2.0;1;0.0;0.0;759.0
1;4;24;2.0;0.0;3757;1;5;4;1.0;1.0;4;4;62;3;2.0;1;2.0;1;1.0;0.0;939.25
1;2;20;3.0;1.0;7057;5;4;3;2.0;0.0;4;2;36;1;0.0;2;3.0;2;1.0;0.0;3528.5
0;4;36;3.0;8.0;7980;5;2;4;2.0;0.0;4;3;27;3;0.0;2;2.0;1;1.0;0.0;1995.0
0;4;24;2.0;3.0;5943;5;2;1;1.0;0.0;1;3;44;3;1.0;2;2.0;1;1.0;0.0;1485.75
1;4;12;2.0;3.0;886;5;3;4;1.0;0.0;2;3;21;3;1.0;1;2.0;1;0.0;0.0;221.5
1;2;36;4.0;3.0;2337;1;5;4;2.0;0.0;4;1;36;3;1.0;1;2.0;1;0.0;0.0;1168.5
1;4;36;0.0;5.0;2613;1;3;4;2.0;0.0;2;3;27;3;1.0;2;2.0;1;0.0;0.0;653.25
1;4;12;4.0;2.0;5801;5;5;2;2.0;0.0;4;2;49;3;0.0;1;2.0;1;1.0;1.0;1450.25
1;4;12;4.0;2.0;1935;1;5;4;2.0;0.0;4;1;43;3;1.0;3;2.0;1;1.0;0.0;483.75
1;2;18;4.0;8.0;1887;5;3;4;3.0;0.0;4;1;28;1;1.0;2;2.0;1;0.0;0.0;943.5
1;2;12;0.0;7.0;1410;1;3;2;2.0;0.0;2;1;31;3;1.0;1;1.0;1;1.0;0.0;705.0
1;3;15;4.0;1.0;2360;3;3;2;2.0;0.0;2;3;36;3;1.0;1;2.0;1;1.0;0.0;786.6666666666666
1;4;24;2.0;1.0;2679;1;2;4;1.0;0.0;1;4;29;3;1.0;1;3.0;1;1.0;0.0;669.75
1;1;20;4.0;2.0;4272;1;5;1;1.0;0.0;4;2;24;3;1.0;2;2.0;1;0.0;0.0;4272.0
1;4;6;2.0;5.0;660;3;4;2;3.0;0.0;4;1;23;3;0.0;1;1.0;1;0.0;0.0;165.0
1;4;6;2.0;0.0;672;1;1;1;1.0;0.0;4;1;54;3;1.0;1;0.0;1;1.0;0.0;168.0
1;4;12;4.0;0.0;1255;1;5;4;2.0;0.0;4;1;61;3;1.0;2;1.0;1;0.0;0.0;313.75
1;4;6;2.0;3.0;1346;2;5;2;2.0;0.0;4;4;42;1;2.0;1;2.0;2;1.0;0.0;336.5
1;2;20;3.0;9.0;2629;1;3;2;2.0;0.0;3;3;29;1;1.0;2;2.0;1;1.0;0.0;1314.5
1;1;24;2.0;3.0;3660;1;3;2;1.0;0.0;4;3;28;3;1.0;1;2.0;1;0.0;0.0;3660.0
1;1;6;4.0;3.0;1957;1;4;1;1.0;0.0;4;3;31;3;1.0;1;2.0;1;0.0;0.0;1957.0
1;1;30;0.0;8.0;8072;5;2;2;2.0;0.0;3;3;25;1;1.0;3;2.0;1;0.0;0.0;8072.0
1;1;15;2.0;0.0;1403;1;3;2;1.0;0.0;4;3;28;3;0.0;1;2.0;1;0.0;0.0;1403.0
0;3;9;0.0;3.0;1337;1;2;4;2.0;0.0;2;3;34;3;1.0;2;3.0;1;1.0;0.0;445.6666666666667
1;1;12;2.0;0.0;1893;1;3;4;1.0;2.0;4;2;29;3;1.0;1;2.0;1;1.0;0.0;1893.0
1;4;27;3.0;1.0;8613;4;3;2;2.0;0.0;2;3;27;3;1.0;2;2.0;1;0.0;0.0;2153.25
1;2;26;2.0;1.0;7966;1;2;2;2.0;0.0;3;3;30;3;1.0;2;2.0;1;0.0;0.0;3983.0
0;4;48;2.0;8.0;4844;1;1;3;2.0;0.0;2;3;33;3;0.0;1;3.0;1;1.0;0.0;1211.0
1;4;24;4.0;3.0;2424;5;5;4;2.0;0.0;4;2;53;3;1.0;2;2.0;1;0.0;0.0;606.0
1;2;8;2.0;8.0;907;1;2;3;3.0;0.0;2;1;26;3;1.0;1;2.0;1;1.0;0.0;453.5
0;4;24;2.0;3.0;3621;2;5;2;2.0;0.0;4;3;31;3;1.0;2;2.0;1;0.0;0.0;905.25
1;1;36;2.0;2.0;3959;1;1;4;2.0;0.0;3;2;30;3;1.0;1;3.0;1;1.0;0.0;3959.0
1;4;24;4.0;8.0;4139;2;3;3;2.0;0.0;3;2;27;3;1.0;2;1.0;1;1.0;0.0;1034.75
1;2;12;2.0;3.0;1092;1;3;4;1.0;2.0;4;1;49;3;1.0;2;2.0;1;1.0;0.0;546.0
1;2;8;2.0;3.0;760;1;4;4;1.0;2.0;2;1;44;3;1.0;1;1.0;1;0.0;0.0;380.0
1;1;24;2.0;1.0;2910;1;4;2;2.0;0.0;1;4;34;3;2.0;1;3.0;1;1.0;0.0;2910.0
0;4;36;3.0;8.0;9572;1;2;1;0.0;0.0;1;3;28;3;1.0;2;2.0;1;0.0;0.0;2393.0
1;4;15;4.0;3.0;1471;1;3;4;2.0;0.0;4;4;35;3;2.0;2;2.0;1;1.0;0.0;367.75
1;4;15;4.0;2.0;3343;1;3;4;2.0;0.0;2;4;28;3;2.0;1;2.0;1;1.0;0.0;835.75
1;2;15;2.0;5.0;2631;2;3;3;1.0;0.0;2;1;25;3;1.0;1;1.0;1;0.0;0.0;1315.5
1;1;36;2.0;0.0;3249;1;4;2;2.0;0.0;4;4;39;1;2.0;1;3.0;2;1.0;0.0;3249.0
0;2;48;2.0;0.0;6560;2;4;3;2.0;0.0;2;2;24;3;1.0;1;2.0;1;0.0;0.0;3280.0
1;2;7;2.0;3.0;2415;1;3;3;2.0;2.0;2;1;34;3;1.0;1;2.0;1;0.0;0.0;1207.5
1;1;27;2.0;3.0;3416;1;3;3;2.0;0.0;2;3;27;3;1.0;1;3.0;1;0.0;0.0;3416.0
1;4;12;4.0;3.0;976;5;5;4;2.0;0.0;4;3;35;3;1.0;2;2.0;1;0.0;0.0;244.0
1;3;12;2.0;3.0;3399;5;5;2;2.0;0.0;3;3;37;3;1.0;1;3.0;1;0.0;0.0;1133.0
1;4;12;2.0;2.0;763;1;3;4;1.0;0.0;1;1;26;3;1.0;1;2.0;1;1.0;0.0;190.75
1;1;30;2.0;3.0;2522;1;5;1;2.0;2.0;3;2;39;3;1.0;1;2.0;2;0.0;0.0;2522.0
0;2;12;2.0;3.0;1331;1;2;2;2.0;0.0;1;3;22;3;1.0;1;2.0;1;0.0;0.0;665.5
1;4;15;2.0;1.0;3029;1;4;2;2.0;0.0;2;3;33;3;1.0;1;2.0;1;0.0;0.0;757.25
1;4;24;4.0;3.0;1851;1;4;4;3.0;2.0;2;3;33;3;1.0;2;2.0;1;1.0;0.0;462.75
1;2;21;2.0;2.0;3976;5;4;2;2.0;0.0;3;3;35;3;1.0;1;2.0;1;1.0;0.0;1988.0
1;4;24;4.0;1.0;5804;4;3;4;2.0;0.0;2;1;27;3;1.0;2;2.0;1;0.0;0.0;1451.0
1;4;36;4.0;3.0;9566;1;3;2;1.0;0.0;2;3;31;2;1.0;2;2.0;1;0.0;0.0;2391.5
1;2;18;2.0;8.0;1941;4;3;4;2.0;0.0;2;2;35;3;1.0;1;1.0;1;1.0;0.0;970.5
