Creditability;Account_Balance;Duration_of_Credit_monthly;Payment_Status_of_Previous_Credit;Purpose;Credit_Amount;Value_Savings_Stocks;Length_of_current_employment;Instalment_per_cent;Sex_Marital_Status;Guarantors;Duration_in_Current_address;Most_valuable_available_asset;Age_years;Concurrent_Credits;Type_of_apartment;No_of_Credits_at_this_Bank;Occupation;No_of_dependents;Telephone;Foreign_Worker;Relative_Credit_Amount
1;4;42;2.0;3.0;7166;5;4;2;3.0;0.0;4;2;29;3;0.0;1;2.0;1;1.0;0.0;1791.5
1;2;30;0.0;8.0;4221;1;3;2;1.0;0.0;1;3;28;3;1.0;2;2.0;1;0.0;0.0;2110.5
0;2;18;4.0;0.0;1056;1;5;3;2.0;2.0;3;1;30;3;1.0;2;2.0;1;0.0;0.0;528.0
1;2;24;3.0;0.0;1965;5;3;4;1.0;0.0;4;3;42;3;0.0;2;2.0;1;1.0;0.0;982.5
1;1;9;4.0;5.0;1288;2;5;3;2.0;2.0;4;1;48;3;1.0;2;2.0;2;0.0;1.0;1288.0
0;1;18;2.0;0.0;976;1;2;1;1.0;0.0;2;3;23;3;1.0;1;1.0;1;0.0;0.0;976.0
0;1;12;1.0;0.0;697;1;2;4;2.0;0.0;2;3;46;1;1.0;2;2.0;1;1.0;0.0;697.0
0;1;12;2.0;0.0;1372;1;4;2;0.0;0.0;3;3;36;3;1.0;1;2.0;1;0.0;0.0;1372.0
1;1;15;4.0;2.0;975;1;3;2;0.0;0.0;3;2;25;3;1.0;2;2.0;1;0.0;0.0;975.0
0;1;24;1.0;0.0;1193;1;1;1;1.0;1.0;4;4;29;3;0.0;2;0.0;1;0.0;0.0;1193.0
1;1;12;2.0;2.0;2577;1;3;2;0.0;0.0;1;3;42;3;1.0;1;2.0;1;0.0;0.0;2577.0
1;2;18;4.0;2.0;6361;1;5;2;2.0;0.0;1;4;41;3;1.0;1;2.0;1;1.0;0.0;3180.5
1;1;30;4.0;1.0;6187;2;4;1;3.0;0.0;4;3;24;3;0.0;2;2.0;1;0.0;0.0;6187.0
1;2;24;3.0;3.0;6403;1;2;1;2.0;0.0;2;3;33;3;1.0;1;2.0;1;0.0;0.0;3201.5
1;1;18;4.0;3.0;1880;1;4;4;3.0;0.0;1;2;32;3;1.0;2;3.0;1;1.0;0.0;1880.0
1;2;24;4.0;8.0;2825;5;4;4;2.0;0.0;3;4;34;3;1.0;2;2.0;2;1.0;0.0;1412.5
1;4;18;4.0;0.0;1028;1;3;4;1.0;0.0;3;1;36;3;1.0;2;2.0;1;0.0;0.0;257.0
1;4;18;4.0;3.0;6070;1;5;3;2.0;0.0;4;3;33;3;1.0;2;2.0;1;1.0;0.0;1517.5
1;4;24;4.0;8.0;4526;1;3;3;2.0;0.0;2;1;74;3;1.0;1;3.0;1;1.0;0.0;1131.5
1;4;24;4.0;1.0;4042;5;4;3;2.0;0.0;4;2;43;3;1.0;2;2.0;1;1.0;0.0;1010.5
0;2;30;4.0;0.0;5234;1;1;4;3.0;0.0;2;3;28;3;1.0;2;3.0;1;0.0;0.0;2617.0
1;1;21;4.0;0.0;571;1;5;4;2.0;0.0;4;1;65;3;1.0;2;2.0;1;0.0;0.0;571.0
0;1;24;4.0;0.0;1199;1;5;4;2.0;0.0;4;3;60;3;1.0;2;1.0;1;0.0;0.0;1199.0
1;4;24;4.0;2.0;3777;4;3;4;2.0;0.0;4;1;40;3;1.0;1;2.0;1;1.0;0.0;944.25
1;2;39;3.0;6.0;11760;2;4;2;2.0;0.0;3;4;32;3;0.0;1;2.0;1;1.0;0.0;5880.0
1;4;18;2.0;8.0;1950;1;4;4;2.0;0.0;1;3;34;2;1.0;2;2.0;1;1.0;0.0;487.5
1;4;12;4.0;3.0;618;1;5;4;2.0;0.0;4;1;56;3;1.0;1;2.0;1;0.0;0.0;154.5
1;4;11;4.0;3.0;1154;2;1;4;1.0;0.0;4;1;57;3;1.0;3;1.0;1;0.0;0.0;288.5
0;1;48;2.0;4.0;3051;1;3;3;2.0;0.0;4;3;54;3;1.0;1;2.0;1;0.0;0.0;3051.0
0;1;48;2.0;0.0;7763;1;5;4;2.0;0.0;4;4;42;1;2.0;1;3.0;1;0.0;0.0;7763.0
1;2;10;1.0;3.0;1048;1;3;4;2.0;0.0;4;1;23;2;1.0;1;1.0;1;0.0;0.0;524.0
1;2;12;4.0;1.0;1804;2;2;3;2.0;0.0;4;2;44;3;1.0;1;2.0;1;0.0;0.0;902.0
1;2;9;2.0;3.0;1206;1;5;4;1.0;0.0;4;1;25;3;1.0;1;2.0;1;0.0;0.0;603.0
0;1;12;4.0;0.0;691;1;5;4;2.0;0.0;3;2;35;3;1.0;2;2.0;1;0.0;0.0;691.0
0;1;12;2.0;6.0;795;1;2;4;1.0;0.0;4;2;53;3;1.0;1;2.0;1;0.0;0.0;795.0
0;4;18;2.0;0.0;6761;5;3;2;2.0;0.0;4;3;68;2;0.0;2;2.0;1;0.0;0.0;1690.25
1;1;12;2.0;3.0;2214;1;3;4;2.0;0.0;3;2;24;3;1.0;1;1.0;1;0.0;0.0;2214.0
1;2;9;2.0;0.0;276;1;3;4;3.0;0.0;4;1;22;3;0.0;1;1.0;1;0.0;0.0;138.0
0;2;21;2.0;8.0;2767;2;5;4;0.0;0.0;2;3;61;3;0.0;2;1.0;1;0.0;0.0;1383.5
0;1;9;2.0;0.0;654;1;3;4;2.0;0.0;3;3;28;3;1.0;1;1.0;1;0.0;0.0;654.0
1;4;10;4.0;2.0;2146;1;2;1;1.0;0.0;3;1;23;3;0.0;2;2.0;1;0.0;0.0;536.5
1;4;7;4.0;3.0;730;5;5;4;2.0;0.0;2;2;46;3;0.0;2;1.0;1;1.0;0.0;182.5
1;1;24;2.0;2.0;1747;1;2;4;2.0;1.0;1;2;24;3;1.0;1;1.0;1;0.0;1.0;1747.0
1;1;6;2.0;3.0;2647;3;3;2;2.0;0.0;3;1;44;3;0.0;1;2.0;2;0.0;0.0;2647.0
1;4;10;2.0;0.0;1546;1;3;3;2.0;0.0;2;1;31;3;1.0;1;1.0;2;0.0;1.0;386.5
0;2;30;2.0;0.0;2150;1;3;4;1.0;2.0;2;4;24;1;1.0;1;2.0;1;0.0;0.0;1075.0
1;4;24;3.0;1.0;4679;1;4;3;2.0;0.0;3;3;35;3;1.0;2;1.0;1;1.0;0.0;1169.75
1;4;48;3.0;3.0;12749;3;4;4;2.0;0.0;1;3;37;3;1.0;1;3.0;1;1.0;0.0;3187.25
0;1;18;2.0;3.0;1882;1;3;4;1.0;0.0;4;3;25;1;0.0;2;2.0;1;0.0;0.0;1882.0
0;2;36;2.0;5.0;2384;1;2;4;2.0;0.0;1;4;33;3;0.0;1;1.0;1;0.0;0.0;1192.0
1;1;24;2.0;1.0;2924;1;3;3;2.0;2.0;4;4;63;1;1.0;1;2.0;2;1.0;0.0;2924.0
1;2;7;2.0;3.0;2329;1;2;1;1.0;2.0;1;1;45;3;1.0;1;2.0;1;0.0;0.0;1164.5
0;1;48;2.0;8.0;4308;1;2;3;1.0;0.0;4;2;24;3;0.0;1;2.0;1;0.0;0.0;4308.0
1;4;30;4.0;3.0;3077;5;5;3;2.0;0.0;2;3;40;3;1.0;2;2.0;2;1.0;0.0;769.25
0;4;12;3.0;5.0;1555;4;5;4;2.0;0.0;4;4;55;3;2.0;2;2.0;2;0.0;0.0;388.75
1;4;12;4.0;6.0;2096;1;4;2;2.0;0.0;3;1;49;3;1.0;1;1.0;2;0.0;0.0;524.0
0;3;36;2.0;3.0;4210;1;3;4;2.0;0.0;2;3;26;3;1.0;1;2.0;1;0.0;0.0;1403.3333333333333
1;1;24;2.0;2.0;7721;5;2;1;1.0;0.0;2;2;30;3;1.0;1;2.0;1;1.0;1.0;7721.0
1;1;15;4.0;2.0;1433;1;3;4;1.0;0.0;3;2;25;3;0.0;2;2.0;1;0.0;0.0;1433.0
1;1;9;2.0;3.0;1364;1;4;3;2.0;0.0;4;1;59;3;1.0;1;2.0;1;0.0;0.0;1364.0
1;4;24;2.0;1.0;5433;5;1;2;1.0;0.0;4;2;26;3;0.0;1;3.0;1;1.0;0.0;1358.25
1;2;12;2.0;3.0;1567;1;3;1;1.0;0.0;1;3;22;3;1.0;1;2.0;1;1.0;0.0;783.5
1;1;12;4.0;1.0;1526;1;5;4;2.0;0.0;4;4;66;3;2.0;2;3.0;1;0.0;0.0;1526.0
1;1;21;2.0;3.0;3357;4;2;4;1.0;0.0;2;3;29;1;1.0;1;2.0;1;0.0;0.0;3357.0
0;2;24;4.0;9.0;11938;1;3;2;2.0;1.0;3;3;39;3;1.0;2;3.0;2;1.0;0.0;5969.0
1;4;12;4.0;8.0;1264;5;5;4;2.0;0.0;4;4;57;3;0.0;1;1.0;1;0.0;0.0;316.0
1;2;24;2.0;0.0;3512;2;4;2;2.0;0.0;3;3;38;1;1.0;2;2.0;1;1.0;0.0;1756.0
1;2;9;2.0;2.0;2030;5;4;2;2.0;0.0;1;3;24;3;1.0;1;2.0;1;1.0;0.0;1015.0
1;2;42;1.0;1.0;9283;1;1;1;2.0;0.0;2;4;55;1;2.0;1;3.0;1;1.0;0.0;4641.5
1;4;6;4.0;3.0;700;5;5;4;2.0;0.0;4;4;36;3;2.0;2;2.0;1;0.0;0.0;175.0
1;2;36;2.0;6.0;2273;1;4;3;2.0;0.0;1;3;32;3;1.0;2;2.0;2;0.0;0.0;1136.5
1;4;36;3.0;2.0;7678;3;4;2;1.0;0.0;4;3;40;3;1.0;2;2.0;1;1.0;0.0;1919.5
1;4;21;2.0;2.0;2241;1;5;4;2.0;0.0;2;1;50;3;1.0;2;2.0;1;0.0;0.0;560.25
1;2;18;4.0;2.0;3612;1;5;3;1.0;0.0;4;2;37;3;1.0;1;2.0;1;1.0;1.0;1806.0
1;4;24;2.0;1.0;2603;4;3;2;1.0;0.0;4;3;28;3;0.0;1;2.0;1;1.0;0.0;650.75
0;2;36;2.0;0.0;12389;5;3;1;2.0;0.0;4;4;37;1;2.0;1;2.0;1;1.0;0.0;6194.5
1;2;24;4.0;0.0;3878;2;2;4;0.0;0.0;2;3;37;3;1.0;1;2.0;1;1.0;0.0;1939.0
0;2;6;3.0;0.0;1209;1;1;4;2.0;0.0;4;2;47;3;1.0;1;3.0;1;1.0;0.0;604.5
1;1;8;4.0;9.0;1164;1;5;3;2.0;0.0;4;4;51;1;2.0;2;3.0;2;1.0;0.0;1164.0
1;4;15;2.0;4.0;874;5;2;4;1.0;0.0;1;1;24;3;1.0;1;2.0;1;0.0;0.0;218.5
1;2;9;4.0;2.0;1919;1;4;4;2.0;0.0;3;3;35;3;0.0;1;2.0;1;1.0;0.0;959.5
1;4;15;2.0;2.0;2186;5;4;1;1.0;0.0;4;1;33;1;0.0;1;1.0;1;0.0;0.0;546.5
1;4;15;3.0;1.0;3594;1;2;1;1.0;0.0;2;2;46;3;1.0;2;1.0;1;0.0;0.0;898.5
1;1;15;2.0;3.0;1053;1;2;4;3.0;0.0;2;1;27;3;1.0;1;2.0;1;0.0;1.0;1053.0
0;4;18;4.0;0.0;2775;1;4;2;2.0;0.0;2;2;31;1;1.0;2;2.0;1;0.0;0.0;693.75
0;1;42;3.0;3.0;4370;1;4;3;2.0;0.0;2;2;26;1;1.0;2;2.0;2;1.0;0.0;4370.0
1;1;24;2.0;2.0;3021;1;3;2;0.0;0.0;2;1;24;3;0.0;1;1.0;1;0.0;0.0;3021.0
1;4;12;4.0;2.0;1258;1;2;2;1.0;0.0;4;2;22;3;0.0;2;1.0;1;0.0;0.0;314.5
1;4;24;2.0;8.0;1258;1;4;4;2.0;0.0;1;1;25;3;1.0;1;2.0;1;1.0;0.0;314.5
1;4;12;4.0;6.0;701;1;3;4;2.0;0.0;2;3;32;3;1.0;2;2.0;1;0.0;0.0;175.25
1;4;33;4.0;1.0;7253;1;4;3;2.0;0.0;2;3;35;3;1.0;2;3.0;1;1.0;0.0;1813.25
0;1;30;2.0;2.0;6350;5;5;4;2.0;0.0;4;2;31;3;1.0;1;2.0;1;0.0;0.0;6350.0
0;4;6;2.0;2.0;4611;1;2;1;1.0;0.0;4;2;32;3;1.0;1;2.0;1;0.0;0.0;1152.75
1;2;9;2.0;3.0;1082;1;5;4;2.0;0.0;4;3;37;3;1.0;2;1.0;1;0.0;0.0;541.0
1;4;9;2.0;2.0;1313;1;5;1;2.0;0.0;4;3;20;3;1.0;1;2.0;1;0.0;0.0;328.25
1;4;15;2.0;3.0;1386;5;3;4;3.0;0.0;2;1;40;3;0.0;1;2.0;1;1.0;0.0;346.5
1;3;6;4.0;0.0;1323;2;5;2;0.0;0.0;4;3;28;3;1.0;2;2.0;2;1.0;0.0;441.0
0;3;9;2.0;3.0;745;1;3;3;1.0;0.0;2;1;28;3;1.0;1;1.0;1;0.0;0.0;248.33333333333337
1;1;24;1.0;1.0;3632;1;3;1;1.0;2.0;4;3;22;1;0.0;1;2.0;1;0.0;1.0;3632.0
0;4;24;3.0;8.0;8648;1;2;2;2.0;0.0;2;3;27;1;1.0;2;2.0;1;1.0;0.0;2162.0
1;2;24;4.0;3.0;1743;1;5;4;2.0;0.0;2;2;48;3;1.0;2;1.0;1;0.0;0.0;871.5
1;4;15;2.0;3.0;1213;3;5;4;2.0;0.0;3;2;47;2;1.0;1;2.0;1;1.0;0.0;303.25
0;2;6;1.0;0.0;931;2;2;1;1.0;0.0;1;2;32;2;1.0;1;1.0;1;0.0;0.0;465.5
1;4;12;2.0;0.0;640;1;3;4;0.0;0.0;2;1;49;3;1.0;1;1.0;1;0.0;0.0;160.0
0;1;12;4.0;0.0;3499;1;3;3;1.0;1.0;2;1;29;3;1.0;2;2.0;1;0.0;0.0;3499.0
0;1;12;2.0;7.0;902;1;4;4;3.0;0.0;4;2;21;3;0.0;1;2.0;1;0.0;0.0;902.0
1;2;24;2.0;3.0;5084;5;5;2;1.0;0.0;4;3;42;3;1.0;1;2.0;1;1.0;0.0;2542.0
1;4;18;2.0;2.0;1984;1;3;4;2.0;0.0;4;4;47;1;2.0;2;2.0;1;0.0;0.0;496.0
1;2;12;2.0;0.0;6078;1;4;2;2.0;0.0;2;3;32;3;1.0;1;2.0;1;0.0;0.0;3039.0
1;1;6;4.0;2.0;1872;1;1;4;2.0;0.0;4;4;36;3;2.0;3;3.0;1;1.0;0.0;1872.0
1;4;10;2.0;0.0;1597;3;3;3;2.0;0.0;2;4;40;3;0.0;1;1.0;2;0.0;1.0;399.25
1;4;11;4.0;0.0;7228;1;3;1;2.0;0.0;4;2;39;3;1.0;2;1.0;1;0.0;0.0;1807.0
0;1;6;1.0;6.0;1198;1;5;4;1.0;0.0;4;4;35;3;2.0;1;2.0;1;0.0;0.0;1198.0
0;2;15;0.0;0.0;1778;1;2;2;1.0;0.0;1;1;26;3;0.0;2;0.0;1;0.0;0.0;889.0
0;1;24;2.0;2.0;3345;1;5;4;2.0;0.0;2;2;39;3;0.0;1;3.0;1;1.0;0.0;3345.0
1;2;9;2.0;8.0;1391;1;3;2;3.0;0.0;1;1;27;1;1.0;1;2.0;1;1.0;0.0;695.5
1;4;4;4.0;0.0;1455;1;4;2;2.0;0.0;1;1;42;3;1.0;3;1.0;2;0.0;0.0;363.75
1;4;24;2.0;1.0;9277;5;3;2;0.0;0.0;4;4;48;3;2.0;1;2.0;1;1.0;0.0;2319.25
1;4;18;2.0;1.0;3378;5;3;2;2.0;0.0;1;2;31;3;1.0;1;2.0;1;1.0;0.0;844.5
1;4;24;2.0;3.0;3235;3;5;3;0.0;0.0;2;3;36;3;1.0;1;3.0;1;1.0;0.0;808.75
1;4;24;2.0;1.0;3488;2;4;3;1.0;0.0;4;3;23;3;1.0;1;2.0;1;0.0;0.0;872.0
0;2;12;2.0;5.0;639;1;3;4;2.0;0.0;2;3;30;3;1.0;1;2.0;1;0.0;0.0;319.5
1;2;13;4.0;3.0;882;1;2;4;2.0;2.0;4;1;23;3;1.0;2;2.0;1;0.0;0.0;441.0
0;2;6;2.0;0.0;14555;5;1;1;2.0;0.0;2;2;23;3;1.0;1;0.0;1;1.0;0.0;7277.5
0;1;42;2.0;3.0;3965;1;2;4;2.0;0.0;3;3;34;3;1.0;1;2.0;1;0.0;0.0;3965.0
1;2;12;2.0;3.0;1158;3;3;3;0.0;0.0;1;3;26;3;1.0;1;2.0;1;1.0;0.0;579.0
1;4;9;2.0;3.0;2697;1;3;1;2.0;0.0;2;1;32;3;1.0;1;2.0;2;0.0;0.0;674.25
1;1;6;2.0;0.0;1374;5;1;4;1.0;0.0;3;2;75;3;1.0;1;3.0;1;1.0;0.0;1374.0
1;4;48;2.0;3.0;10222;5;4;4;2.0;0.0;3;3;37;2;1.0;1;2.0;1;1.0;0.0;2555.5
1;4;30;4.0;1.0;7596;5;5;1;2.0;0.0;4;3;63;3;1.0;2;2.0;1;0.0;0.0;1899.0
1;2;18;2.0;3.0;3213;3;2;1;3.0;0.0;3;1;25;3;0.0;1;2.0;1;0.0;0.0;1606.5
1;4;6;2.0;2.0;2978;3;3;1;2.0;0.0;2;3;32;3;1.0;1;2.0;1;1.0;0.0;744.5
1;4;11;2.0;8.0;2142;4;5;1;0.0;0.0;2;1;28;3;1.0;1;2.0;1;1.0;0.0;535.5
1;3;15;2.0;8.0;2687;1;4;2;2.0;0.0;4;2;26;3;0.0;1;2.0;1;1.0;0.0;895.6666666666666
1;2;6;2.0;3.0;753;1;3;2;1.0;2.0;3;1;64;3;1.0;1;2.0;1;0.0;0.0;376.5
0;2;15;2.0;3.0;802;1;5;4;2.0;0.0;3;3;37;3;1.0;1;2.0;2;0.0;0.0;401.0
1;4;24;2.0;3.0;1901;2;3;4;2.0;0.0;4;3;29;3;0.0;1;3.0;1;1.0;0.0;475.25
1;2;18;2.0;0.0;6260;1;4;3;2.0;0.0;3;1;28;3;0.0;1;1.0;1;0.0;0.0;3130.0
1;1;30;4.0;1.0;10623;1;5;3;2.0;0.0;4;4;38;3;2.0;3;3.0;2;1.0;0.0;10623.0
1;2;6;3.0;2.0;1050;1;1;4;2.0;0.0;1;2;35;2;1.0;2;3.0;1;1.0;1.0;525.0
1;4;9;2.0;4.0;1236;1;2;1;1.0;0.0;4;1;23;3;0.0;1;2.0;1;1.0;0.0;309.0
1;3;24;2.0;3.0;5152;1;4;4;2.0;0.0;2;3;25;1;1.0;1;2.0;1;0.0;0.0;1717.3333333333333
0;2;36;4.0;0.0;2820;1;2;4;0.0;0.0;4;3;27;3;1.0;2;2.0;1;0.0;0.0;1410.0
1;4;36;4.0;8.0;6304;5;5;4;2.0;0.0;4;1;36;3;1.0;2;2.0;1;0.0;0.0;1576.0
1;4;36;3.0;1.0;8947;5;4;3;2.0;0.0;2;3;31;2;1.0;1;3.0;2;1.0;0.0;2236.75
1;4;24;4.0;2.0;1585;1;4;4;2.0;0.0;3;2;40;3;1.0;2;2.0;1;0.0;0.0;396.25
0;1;12;2.0;1.0;3386;1;5;3;2.0;0.0;4;4;35;3;2.0;1;2.0;1;1.0;0.0;3386.0
0;4;36;2.0;6.0;1819;1;3;4;2.0;0.0;4;4;37;2;2.0;1;2.0;1;1.0;0.0;454.75
0;1;48;2.0;3.0;6999;1;4;1;3.0;2.0;1;1;34;3;1.0;2;2.0;1;1.0;0.0;6999.0
0;1;18;2.0;0.0;1216;1;2;4;1.0;0.0;3;3;23;3;0.0;1;2.0;1;1.0;0.0;1216.0
0;1;48;0.0;2.0;7119;1;3;3;2.0;0.0;4;4;53;3;2.0;2;2.0;2;0.0;0.0;7119.0
1;4;30;4.0;3.0;5954;1;4;3;2.0;1.0;2;3;38;3;1.0;1;2.0;1;0.0;0.0;1488.5
0;1;12;1.0;3.0;626;1;3;4;1.0;0.0;4;1;24;1;1.0;1;1.0;1;0.0;0.0;626.0
0;1;12;2.0;0.0;1228;1;3;4;1.0;0.0;2;1;24;3;1.0;1;1.0;1;0.0;0.0;1228.0
1;1;11;4.0;0.0;3939;1;3;1;2.0;0.0;2;1;40;3;1.0;2;1.0;2;0.0;0.0;3939.0
1;4;6;2.0;6.0;1538;1;2;1;1.0;0.0;2;4;56;3;1.0;1;2.0;1;0.0;0.0;384.5
1;4;24;2.0;0.0;1474;2;2;4;3.0;0.0;3;1;33;3;1.0;1;2.0;1;1.0;0.0;368.5
0;2;27;0.0;8.0;8318;1;5;2;1.0;0.0;4;4;42;2;2.0;2;3.0;1;1.0;0.0;4159.0
0;4;48;4.0;0.0;10127;3;3;2;2.0;0.0;2;4;44;3;2.0;1;2.0;1;0.0;0.0;2531.75
1;2;24;2.0;3.0;2896;2;2;2;2.0;0.0;1;3;29;3;1.0;1;2.0;1;0.0;0.0;1448.0
0;2;21;2.0;8.0;1188;1;5;2;1.0;0.0;4;2;39;3;1.0;1;2.0;2;0.0;0.0;594.0
1;4;27;2.0;5.0;5190;5;5;4;2.0;0.0;4;2;48;3;1.0;4;2.0;2;1.0;0.0;1297.5
1;2;21;3.0;0.0;2353;1;3;1;0.0;0.0;4;2;47;3;1.0;2;2.0;1;0.0;0.0;1176.5
0;2;18;2.0;2.0;1924;5;2;4;1.0;0.0;3;1;27;3;0.0;1;2.0;1;0.0;0.0;962.0
0;1;48;2.0;3.0;6758;1;3;3;1.0;0.0;2;3;31;3;1.0;1;2.0;1;1.0;0.0;6758.0
1;4;24;4.0;3.0;1516;4;3;4;1.0;0.0;1;1;43;3;1.0;2;1.0;1;0.0;0.0;379.0
1;1;12;2.0;2.0;652;1;5;4;1.0;0.0;4;2;24;3;0.0;1;2.0;1;0.0;0.0;652.0
0;3;12;1.0;8.0;609;1;2;4;1.0;0.0;1;1;26;1;1.0;1;0.0;1;0.0;0.0;203.0
1;4;6;3.0;3.0;935;1;3;3;1.0;0.0;2;1;24;3;1.0;1;2.0;1;0.0;0.0;233.75
0;3;12;4.0;0.0;939;3;4;4;3.0;0.0;2;1;28;3;1.0;3;2.0;1;1.0;0.0;313.0
1;4;12;2.0;3.0;2279;5;3;4;2.0;0.0;4;4;37;3;2.0;1;2.0;1;1.0;0.0;569.75
1;2;48;1.0;8.0;3566;2;4;4;2.0;0.0;2;3;30;3;1.0;1;2.0;1;0.0;0.0;1783.0
1;4;12;4.0;3.0;1934;1;5;2;2.0;0.0;2;4;26;3;1.0;2;2.0;1;0.0;0.0;483.5
0;2;48;2.0;2.0;9960;1;2;1;1.0;0.0;2;3;26;1;1.0;1;2.0;1;1.0;0.0;4980.0
1;4;21;3.0;2.0;1591;2;4;4;2.0;0.0;3;1;34;3;1.0;2;3.0;1;0.0;0.0;397.75
1;4;12;2.0;6.0;1393;1;5;4;2.0;0.0;4;2;47;1;1.0;3;2.0;2;1.0;0.0;348.25
0;1;18;2.0;3.0;1345;1;3;4;3.0;0.0;3;1;26;3;1.0;1;2.0;1;0.0;0.0;1345.0
